snail_ID;ref_ecotype;ref_size;length_mm;thick_mean_mm;DistAlongPath;sex;dur_mean;dur_max;mountYNcontact;male_size;female_size;test_Pact;size_ratio;size_ratio2;log_male;log_female;Shape;shore;type;ref_Pact;both_Pactive;CS;SN_rock;SN_barnacle;SN_fucus;topo
CZA617;wave;5.59;3.15812021;0.102;0.177201415;male;6.5;8;1;3.15812021;5.59;1;0.571002307;0.326043634;1.14997698;1.720979287;-0.133561737;CZA;NA;NA;NA;NA;NA;NA;NA;NA
CZA621;wave;3.9;6.606272518;0.182;0.177201415;female;NA;NA;0;3.9;6.606272518;0.858333333;0.527043026;0.277774351;1.360976553;1.888019579;-0.115697334;CZA;NA;NA;NA;NA;NA;NA;NA;NA
CZA620;crab;10.08;5.678737953;0.148;0.343452261;female;NA;NA;0;10.08;5.678737953;0.958333333;-0.573824246;0.329274265;2.310553263;1.736729017;-0.038880322;CZA;NA;NA;NA;NA;NA;NA;NA;NA
CZA620;wave;2.77;5.678737953;0.148;0.343452261;female;NA;NA;0;2.77;5.678737953;0.975;0.717881696;0.51535413;1.01884732;1.736729017;-0.038880322;CZA;NA;NA;NA;NA;NA;NA;NA;NA
CZA620;wave;3.51;5.678737953;0.148;0.343452261;female;NA;NA;0;3.51;5.678737953;1;0.481112979;0.231469699;1.255616037;1.736729017;-0.038880322;CZA;NA;NA;NA;NA;NA;NA;NA;NA
CZA623;crab;10.75;3.130273396;0.069666667;0.780894498;female;NA;NA;0;10.75;3.130273396;1;-1.233785407;1.52222643;2.374905755;1.141120348;-0.127220834;CZA;NA;NA;NA;NA;NA;NA;NA;NA
CZA623;crab;10.87;3.130273396;0.069666667;0.780894498;female;NA;NA;0;10.87;3.130273396;0.991666667;-1.244886353;1.549742033;2.386006701;1.141120348;-0.127220834;CZA;NA;NA;NA;NA;NA;NA;NA;NA
CZA623;wave;3.27;3.130273396;0.069666667;0.780894498;female;NA;NA;0;3.27;3.130273396;0.95;-0.043669637;0.001907037;1.184789985;1.141120348;-0.127220834;CZA;NA;NA;NA;NA;NA;NA;NA;NA
CZB449;crab;10.5;4.809831967;0.164333333;0.902534402;male;34;34;1;4.809831967;10.5;0.991666667;0.780713108;0.609512957;1.570662149;2.351375257;0.012649694;CZB;RBF;0.975;0.983333333;7.837642772;1;0.778424159;-0.268688143;0.681
CZB449;crab;14.8;4.809831967;0.164333333;0.902534402;male;NA;NA;0;4.809831967;14.8;0.983333333;1.123965031;1.263297392;1.570662149;2.694627181;0.012649694;CZB;RBF;0.983333333;0.983333333;7.837642772;1;0.778424159;-0.268688143;0.681
CZB449;wave;5.9;4.809831967;0.164333333;0.902534402;male;NA;NA;0;4.809831967;5.9;0.991666667;0.204290201;0.041734486;1.570662149;1.774952351;0.012649694;CZB;RBF;0.95;0.970833333;7.837642772;1;0.778424159;-0.268688143;0.681
CZB449;wave;6.8;4.809831967;0.164333333;0.902534402;male;23;23;1;4.809831967;6.8;1;0.346260463;0.119896308;1.570662149;1.916922612;0.012649694;CZB;RBF;0.866666667;0.933333333;7.837642772;1;0.778424159;-0.268688143;0.681
CZB450;crab;9;7.130760861;0.247666667;1.309242159;female;7;7;1;9;7.130760861;1;-0.232806636;0.05419893;2.197224577;1.964417941;-0.037770643;CZB;RBN;1;1;11.00964022;1;0.595847041;-0.643125134;0.814
CZB450;crab;13.5;7.130760861;0.247666667;1.309242159;female;NA;NA;0;13.5;7.130760861;1;-0.638271744;0.407390819;2.602689685;1.964417941;-0.037770643;CZB;RBN;1;1;11.00964022;1;0.595847041;-0.643125134;0.814
CZB450;wave;3.9;7.130760861;0.247666667;1.309242159;female;22;22;1;3.9;7.130760861;1;0.603441388;0.364141509;1.360976553;1.964417941;-0.037770643;CZB;RBN;0.95;0.975;11.00964022;1;0.595847041;-0.643125134;0.814
CZB450;wave;5.6;7.130760861;0.247666667;1.309242159;female;46;46;1;5.6;7.130760861;1;0.241651344;0.058395372;1.722766598;1.964417941;-0.037770643;CZB;RBN;1;1;11.00964022;1;0.595847041;-0.643125134;0.814
CZA613;crab;12.69;4.314402765;0.156;1.618601679;male;NA;NA;0;4.314402765;12.69;1;1.078855376;1.163928922;1.461958906;2.540814282;-0.103636302;CZA;NA;NA;NA;NA;1;1;-1;NA
CZB448;crab;12.8;6.569557861;0.160666667;1.757989399;female;NA;NA;0;12.8;6.569557861;1;-0.666998637;0.444887182;2.549445171;1.882446534;-0.01253909;CZB;RBN;1;1;10.03420885;1;0.608450521;-0.444310706;0.681
CZB448;crab;14.7;6.569557861;0.160666667;1.757989399;female;NA;NA;0;14.7;6.569557861;1;-0.80540096;0.648670707;2.687847494;1.882446534;-0.01253909;CZB;RBN;1;1;10.03420885;1;0.608450521;-0.444310706;0.681
CZB448;wave;4.4;6.569557861;0.160666667;1.757989399;female;29.5;33;1;4.4;6.569557861;1;0.400841993;0.160674303;1.481604541;1.882446534;-0.01253909;CZB;RBN;1;1;10.03420885;1;0.608450521;-0.444310706;0.681
CZB448;wave;5.4;6.569557861;0.160666667;1.757989399;female;33.33333333;45;1;5.4;6.569557861;1;0.19604758;0.038434654;1.686398954;1.882446534;-0.01253909;CZB;RBN;0.925;0.9625;10.03420885;1;0.608450521;-0.444310706;0.681
CZA624;crab;15.06;2.963991883;0.089333333;1.966991117;male;1;1;1;2.963991883;15.06;0.966666667;1.625505253;2.642267329;1.086536969;2.712042222;-0.111226108;CZA;NA;NA;NA;NA;NA;NA;NA;NA
CZA624;wave;6.6;2.963991883;0.089333333;1.966991117;male;34;34;1;2.963991883;6.6;1;0.80053268;0.640852572;1.086536969;1.887069649;-0.111226108;CZA;NA;NA;NA;NA;NA;NA;NA;NA
CZC524;crab;10.3;10.41483523;0.538666667;100.0847579;male;88;88;1;10.41483523;10.3;0.966666667;-0.011087359;0.00012293;2.343231254;2.332143895;0.079972257;CZC;SNN;0.991666667;0.979166667;14.91445276;-1;-1;-1;0.419
CZC524;crab;12.4;10.41483523;0.538666667;100.0847579;male;52;52;1;10.41483523;12.4;0.908333333;0.174465218;0.030438112;2.343231254;2.517696473;0.079972257;CZC;SNN;0.991666667;0.95;14.91445276;-1;-1;-1;0.419
CZC524;wave;7.7;10.41483523;0.538666667;100.0847579;male;55;55;1;10.41483523;7.7;0.883333333;-0.302010925;0.091210599;2.343231254;2.041220329;0.079972257;CZC;SNN;0.933333333;0.908333333;14.91445276;-1;-1;-1;0.419
CZB160;crab;9.9;10.3348463;0.402666667;100.8948283;female;NA;NA;0;9.9;10.3348463;1;0.042986564;0.001847845;2.292534757;2.335521321;0.040496597;CZB;SBN;0.958333333;0.979166667;14.08146602;-1;-0.043106657;-0.689877309;0.451
CZB160;crab;11.6;10.3348463;0.402666667;100.8948283;female;NA;NA;0;11.6;10.3348463;1;-0.115483777;0.013336503;2.451005098;2.335521321;0.040496597;CZB;SBN;0.875;0.9375;14.08146602;-1;-0.043106657;-0.689877309;0.451
CZB160;wave;3.9;10.3348463;0.402666667;100.8948283;female;NA;NA;0;3.9;10.3348463;1;0.974544768;0.949737505;1.360976553;2.335521321;0.040496597;CZB;SBN;1;1;14.08146602;-1;-0.043106657;-0.689877309;0.451
CZB160;wave;4.7;10.3348463;0.402666667;100.8948283;female;69;69;1;4.7;10.3348463;1;0.787958813;0.62087909;1.547562509;2.335521321;0.040496597;CZB;SBN;0.775;0.8875;14.08146602;-1;-0.043106657;-0.689877309;0.451
CZC528;crab;10.3;13.50563276;0.476666667;100.9825878;male;NA;NA;0;13.50563276;10.3;0.258333333;-0.270962945;0.073420917;2.60310684;2.332143895;0.04527721;CZC;SNN;0.966666667;0.6125;19.1805435;-1;-0.98980488;-0.987598752;0.683
CZC528;crab;12.2;13.50563276;0.476666667;100.9825878;male;30.5;54;1;13.50563276;12.2;0.95;-0.101670888;0.01033697;2.60310684;2.501435952;0.04527721;CZC;SNN;0.966666667;0.958333333;19.1805435;-1;-0.98980488;-0.987598752;0.683
CZC528;wave;3.5;13.50563276;0.476666667;100.9825878;male;NA;NA;0;13.50563276;3.5;0.95;-1.350343871;1.823428571;2.60310684;1.252762968;0.04527721;CZC;SNN;0.916666667;0.933333333;19.1805435;-1;-0.98980488;-0.987598752;0.683
CZC527;crab;11.1;9.065557613;0.444666667;101.0277317;male;NA;NA;0;9.065557613;11.1;0.991666667;0.202462753;0.040991166;2.204482355;2.406945108;0.076066437;CZC;SNN;0.991666667;0.991666667;12.99373206;-1;-1;-0.889873197;0.586
CZB159;crab;11.8;10.470164;0.540333333;101.0587678;male;32;53;1;10.470164;11.8;0.975;0.119569843;0.014296947;2.348529689;2.468099531;0.054174769;CZB;SNF;0.983333333;0.979166667;14.736815;-1;-0.405736832;0.347784554;0.221
CZB159;crab;13.7;10.470164;0.540333333;101.0587678;male;NA;NA;0;10.470164;13.7;0.975;0.268866144;0.072289004;2.348529689;2.617395833;0.054174769;CZB;SNF;0.991666667;0.983333333;14.736815;-1;-0.405736832;0.347784554;0.221
CZB159;wave;4.9;10.470164;0.540333333;101.0587678;male;NA;NA;0;10.470164;4.9;0.966666667;-0.759294483;0.576528113;2.348529689;1.589235205;0.054174769;CZB;SNF;1;0.983333333;14.736815;-1;-0.405736832;0.347784554;0.221
CZB159;wave;6.4;10.470164;0.540333333;101.0587678;male;NA;NA;0;10.470164;6.4;0.983333333;-0.492231698;0.242292045;2.348529689;1.85629799;0.054174769;CZB;SNF;0.983333333;0.983333333;14.736815;-1;-0.405736832;0.347784554;0.221
CZC530;crab;14;11.94624419;0.365;101.0683762;male;NA;NA;0;11.94624419;14;0.991666667;0.158640394;0.025166775;2.480416935;2.63905733;0.04741882;CZC;SNN;0.516666667;0.754166667;17.13903424;-1;-0.830365763;-0.723017102;0.769
CZA586;wave;4.13;6.682778571;0.297666667;101.1044846;female;2.75;4;1;4.13;6.682778571;0.983333333;0.481256448;0.231607769;1.418277407;1.899533855;0.003969345;CZA;NA;NA;NA;NA;1;-0.687686174;-0.920784504;NA
CZC529;crab;9.8;11.82988332;0.568333333;101.1264683;male;13.5;16;1;11.82988332;9.8;0.983333333;-0.188246429;0.035436718;2.470628815;2.282382386;0.082686364;CZC;SNN;0.983333333;0.983333333;16.8104166;-1;-0.993971606;-0.930497877;0.769
CZC529;crab;11.8;11.82988332;0.568333333;101.1264683;male;NA;NA;0;11.82988332;11.8;0.958333333;-0.002529283;6.4e-06;2.470628815;2.468099531;0.082686364;CZC;SNN;0.958333333;0.958333333;16.8104166;-1;-0.993971606;-0.930497877;0.769
CZC529;wave;4.8;11.82988332;0.568333333;101.1264683;male;NA;NA;0;11.82988332;4.8;1;-0.902012897;0.813627266;2.470628815;1.568615918;0.082686364;CZC;SNN;0.958333333;0.979166667;16.8104166;-1;-0.993971606;-0.930497877;0.769
CZC529;wave;6.7;11.82988332;0.568333333;101.1264683;male;NA;NA;0;11.82988332;6.7;0.941666667;-0.568521288;0.323216455;2.470628815;1.902107526;0.082686364;CZC;SNN;0.975;0.958333333;16.8104166;-1;-0.993971606;-0.930497877;0.769
CZC533;crab;13.5;13.45492365;0.679;101.3759431;male;NA;NA;0;13.45492365;13.5;0.166666667;0.003344576;1.12e-05;2.59934511;2.602689685;0.042643272;CZC;SNN;0.991666667;0.579166667;19.54712562;-1;-0.664151626;-0.298757005;0.902
CZC533;crab;14;13.45492365;0.679;101.3759431;male;NA;NA;0;13.45492365;14;0.966666667;0.03971222;0.00157706;2.59934511;2.63905733;0.042643272;CZC;SNN;0.966666667;0.966666667;19.54712562;-1;-0.664151626;-0.298757005;0.902
CZC533;wave;7.7;13.45492365;0.679;101.3759431;male;NA;NA;0;13.45492365;7.7;0.958333333;-0.558124781;0.311503271;2.59934511;2.041220329;0.042643272;CZC;SNN;0.983333333;0.970833333;19.54712562;-1;-0.664151626;-0.298757005;0.902
CZA584;crab;13.1;3.928967704;0.129;101.5647641;male;2;2;1;3.928967704;13.1;0.958333333;1.20423551;1.450183163;1.368376721;2.57261223;-0.069208635;CZA;NA;NA;NA;NA;1;-0.27713013;-0.651223511;NA
CZD279;crab;11.4;9.567106284;0.399;101.6662276;male;5;5;1;9.567106284;11.4;0.95;0.175282569;0.030723979;2.258330786;2.433613355;0.015971964;CZD;SNN;0.991666667;0.970833333;13.47380973;NA;NA;NA;NA
CZD279;wave;3.5;9.567106284;0.399;101.6662276;male;NA;NA;0;9.567106284;3.5;0.775;-1.005567818;1.011166636;2.258330786;1.252762968;0.015971964;CZD;SNN;0.883333333;0.829166667;13.47380973;NA;NA;NA;NA
CZD281;crab;12.2;10.30542297;0.467333333;101.8186606;female;NA;NA;0;12.2;10.30542297;0.525;-0.168765693;0.028481859;2.501435952;2.332670259;0.093326133;CZD;SNN;0.958333333;0.741666667;14.83404557;NA;NA;NA;NA
CZD281;wave;4.4;10.30542297;0.467333333;101.8186606;female;NA;NA;0;4.4;10.30542297;0.908333333;0.851065718;0.724312856;1.481604541;2.332670259;0.093326133;CZD;SNN;1;0.954166667;14.83404557;NA;NA;NA;NA
CZC535;crab;10.4;9.194407295;0.381333333;102.2387037;male;17;17;1;9.194407295;10.4;0.991666667;0.12321041;0.015180805;2.218595396;2.341805806;0.056585551;CZC;SNN;0.991666667;0.991666667;14.10735637;-1;-0.516189118;-0.093669947;0.749
CZC535;crab;13.7;9.194407295;0.381333333;102.2387037;male;4.5;5;1;9.194407295;13.7;0.85;0.398800436;0.159041788;2.218595396;2.617395833;0.056585551;CZC;SNN;0.991666667;0.920833333;14.10735637;-1;-0.516189118;-0.093669947;0.749
CZC535;wave;4.2;9.194407295;0.381333333;102.2387037;male;NA;NA;0;9.194407295;4.2;0.925;-0.783510871;0.613889285;2.218595396;1.435084525;0.056585551;CZC;SNN;0.991666667;0.958333333;14.10735637;-1;-0.516189118;-0.093669947;0.749
CZC540;crab;10.7;10.80256068;0.466333333;102.3073155;female;16;30;1;10.7;10.80256068;0.983333333;0.009539465;9.1e-05;2.370243741;2.379783206;0.041139264;CZC;SNN;0.975;0.979166667;15.70649849;-1;-0.659701674;-0.877769115;0.603
CZC540;wave;3.8;10.80256068;0.466333333;102.3073155;female;NA;NA;0;3.8;10.80256068;1;1.044782139;1.091569719;1.335001067;2.379783206;0.041139264;CZC;SNN;1;1;15.70649849;-1;-0.659701674;-0.877769115;0.603
CZC538;crab;10.2;12.28735961;0.475666667;102.3229105;male;55;55;1;12.28735961;10.2;0.983333333;-0.18618334;0.034664236;2.50857106;2.32238772;0.086700423;CZC;SNN;0.983333333;0.983333333;17.12917162;-1;-0.546520393;-0.73503633;0.672
CZC538;crab;11.3;12.28735961;0.475666667;102.3229105;male;NA;NA;0;12.28735961;11.3;0.991666667;-0.083768334;0.007017134;2.50857106;2.424802726;0.086700423;CZC;SNN;0.991666667;0.991666667;17.12917162;-1;-0.546520393;-0.73503633;0.672
CZC541;wave;7.5;10.76120729;0.467333333;102.422103;male;NA;NA;0;10.76120729;7.5;0.991666667;-0.36104473;0.130353297;2.37594775;2.014903021;0.095354459;CZC;SNN;0.991666667;0.991666667;15.3179814;-1;-0.634300204;-0.937627949;0.742
CZC541;wave;8.3;10.76120729;0.467333333;102.422103;male;NA;NA;0;10.76120729;8.3;0.983333333;-0.259692235;0.067440057;2.37594775;2.116255515;0.095354459;CZC;SNN;0.983333333;0.983333333;15.3179814;-1;-0.634300204;-0.937627949;0.742
CZC577;crab;10.9;11.14928316;0.447333333;102.5185357;male;38;38;1;11.14928316;10.9;0.516666667;-0.022612416;0.000511321;2.411375205;2.388762789;0.068421767;CZC;SNN;0.941666667;0.729166667;15.65365205;-0.707299718;-0.447009698;-0.541139125;0.662
CZC577;crab;11.9;11.14928316;0.447333333;102.5185357;male;31;31;1;11.14928316;11.9;0.991666667;0.065163195;0.004246242;2.411375205;2.4765384;0.068421767;CZC;SNN;0.958333333;0.975;15.65365205;-0.707299718;-0.447009698;-0.541139125;0.662
CZC577;wave;9.6;11.14928316;0.447333333;102.5185357;male;NA;NA;0;11.14928316;9.6;0.975;-0.149612107;0.022383782;2.411375205;2.261763098;0.068421767;CZC;SNN;1;0.9875;15.65365205;-0.707299718;-0.447009698;-0.541139125;0.662
CZC577;wave;10.1;11.14928316;0.447333333;102.5185357;male;53;53;1;11.14928316;10.1;1;-0.098839781;0.009769302;2.411375205;2.312535424;0.068421767;CZC;SNN;0.958333333;0.979166667;15.65365205;-0.707299718;-0.447009698;-0.541139125;0.662
CZC543;crab;11;11.1726655;0.531333333;102.5240272;male;29;29;1;11.1726655;11;0.983333333;-0.015574942;0.000242579;2.413470215;2.397895273;0.061309607;CZC;SNN;0.95;0.966666667;15.626793;-1;-0.65097221;-1;0.651
CZC543;crab;12.5;11.1726655;0.531333333;102.5240272;male;33;45;1;11.1726655;12.5;0.925;0.112258429;0.012601955;2.413470215;2.525728644;0.061309607;CZC;SNN;0.858333333;0.891666667;15.626793;-1;-0.65097221;-1;0.651
CZC543;wave;7.8;11.1726655;0.531333333;102.5240272;male;NA;NA;0;11.1726655;7.8;0.933333333;-0.359346481;0.129129894;2.413470215;2.054123734;0.061309607;CZC;SNN;0.958333333;0.945833333;15.626793;-1;-0.65097221;-1;0.651
CZC578;crab;10.3;7.370849441;0.349333333;102.6766326;male;5.333333333;8;1;7.370849441;10.3;0.991666667;0.334610939;0.111964481;1.997532956;2.332143895;0.043490272;CZC;SNN;0.991666667;0.991666667;10.60262638;-0.675515596;-0.325795818;-0.445915555;0.883
CZC578;crab;11.7;7.370849441;0.349333333;102.6766326;male;NA;NA;0;7.370849441;11.7;0.991666667;0.462055886;0.213495641;1.997532956;2.459588842;0.043490272;CZC;SNN;0.991666667;0.991666667;10.60262638;-0.675515596;-0.325795818;-0.445915555;0.883
CZC578;wave;3.7;7.370849441;0.349333333;102.6766326;male;NA;NA;0;7.370849441;3.7;0.958333333;-0.689200136;0.474996828;1.997532956;1.30833282;0.043490272;CZC;SNN;0.966666667;0.9625;10.60262638;-0.675515596;-0.325795818;-0.445915555;0.883
