shore;ref_ecotype;distAlongPath;test_sex;dur_mean;dur_max;mountYN;size_ratio;size_ratio2;log_male;log_female;shape
CZD;wave;90.75244272;male;NA;NA;0;-1.623274294;2.635019433;2.411731654;0.78845736;0.038850497
CZD;wave;96.71017011;male;NA;NA;0;-1.680870043;2.825324103;2.513779166;0.832909123;0.056089147
CZD;wave;217.3189432;male;NA;NA;0;-0.951645177;0.905628543;1.7845543;0.832909123;-0.061966899
CZD;wave;75.59856941;male;NA;NA;0;-1.522025212;2.316560746;2.438315944;0.916290732;0.100931332
CZD;wave;126.3399118;male;NA;NA;0;-1.480653724;2.192335449;2.396944455;0.916290732;0.014494428
CZA;crab;137.7111052;female;NA;NA;0;-1.357944762;1.844013977;2.2782924;0.920347638;-0.085342042
CZA;wave;137.7111052;female;1.666666667;2;1;-0.425124728;0.180731035;1.345472367;0.920347638;-0.085342042
CZA;wave;137.7111052;female;NA;NA;0;-0.470934264;0.221779081;1.391281903;0.920347638;-0.085342042
CZD;wave;83.89797416;male;NA;NA;0;-1.514135225;2.292605478;2.46964667;0.955511445;0.013123362
CZD;wave;149.1568575;male;NA;NA;0;-1.21245417;1.470045114;2.167965615;0.955511445;0.003351288
CZD;wave;169.797225;male;NA;NA;0;-0.400493274;0.160394862;1.356004719;0.955511445;-0.035168659
CZD;wave;202.975599;male;NA;NA;0;-1.125664979;1.267121646;2.081176424;0.955511445;0.04569961
CZD;crab;15.06227409;female;NA;NA;0;-1.440695219;2.075602714;2.397895273;0.957200054;-0.102187882
CZD;wave;15.06227409;female;NA;NA;0;-0.174202058;0.030346357;1.131402111;0.957200054;-0.102187882
CZD;wave;217.5033759;female;NA;NA;0;0.030105353;0.000906332;0.955511445;0.985616798;-0.076274606
CZD;wave;217.5033759;female;NA;NA;0;-0.322716022;0.104145631;1.30833282;0.985616798;-0.076274606
CZD;wave;27.77261376;male;13;13;1;-0.436299909;0.19035761;1.429551682;0.993251773;-0.082514407
CZD;wave;60.6022863;male;17;17;1;-0.297329517;0.088404841;1.29058129;0.993251773;-0.064708738
CZD;wave;111.590209;male;NA;NA;0;-1.691610136;2.861544853;2.684861909;0.993251773;0.059278678
CZD;wave;144.3443903;male;NA;NA;0;-1.43104145;2.047879633;2.424293223;0.993251773;0.029422446
CZD;wave;144.8673258;male;NA;NA;0;-1.57239448;2.472424401;2.565646253;0.993251773;0.144011189
CZD;wave;128.4396157;male;NA;NA;0;-1.320561833;1.743883554;2.313813606;0.993251773;0.065807824
CZD;wave;200.4872197;male;NA;NA;0;-1.086901654;1.181355205;2.080153427;0.993251773;-0.031269116
CZD;wave;18.10962588;male;15;15;1;-0.092488041;0.008554038;1.085739814;0.993251773;-0.103449499
CZC;crab;18.3851591;female;NA;NA;0;-1.332238699;1.774859952;2.332143895;0.999905196;-0.058594805
CZC;wave;18.3851591;female;NA;NA;0;-0.43517933;0.189381049;1.435084525;0.999905196;-0.058594805
CZC;crab;22.32403447;female;NA;NA;0;-1.333162172;1.777321376;2.360854001;1.02769183;-0.058429977
CZC;crab;22.32403447;female;NA;NA;0;-1.36107096;1.852514157;2.388762789;1.02769183;-0.058429977
CZC;wave;22.32403447;female;5.666666667;8;1;-0.28064099;0.078759365;1.30833282;1.02769183;-0.058429977
CZC;wave;22.32403447;female;NA;NA;0;-0.358602532;0.128595776;1.386294361;1.02769183;-0.058429977
CZD;wave;28.52271243;male;NA;NA;0;-0.172663641;0.029812733;1.202283058;1.029619417;-0.105550131
CZD;wave;75.20732463;male;31.5;32;1;-0.248945543;0.061973884;1.27856496;1.029619417;-0.089351114
CZD;wave;93.51481776;male;NA;NA;0;-1.423446343;2.02619949;2.45306576;1.029619417;0.103586924
CZD;crab;26.24423216;female;NA;NA;0;-1.324155889;1.753388817;2.370243741;1.046087853;-0.069852795
CZD;crab;26.24423216;female;NA;NA;0;-1.396259182;1.949539705;2.442347035;1.046087853;-0.069852795
CZD;wave;26.24423216;female;NA;NA;0;-0.234845993;0.05515264;1.280933845;1.046087853;-0.069852795
CZC;crab;157.2111518;female;NA;NA;0;-1.24756934;1.556429259;2.302585093;1.055015753;-0.053247229
CZC;crab;157.2111518;female;NA;NA;0;-1.494429418;2.233319286;2.549445171;1.055015753;-0.053247229
CZC;wave;157.2111518;female;18.5;29;1;-0.138906716;0.019295076;1.193922468;1.055015753;-0.053247229
CZC;wave;157.2111518;female;11;11;1;-0.279985314;0.078391776;1.335001067;1.055015753;-0.053247229
CZC;crab;142.5765933;female;NA;NA;0;-1.391020242;1.934937312;2.451005098;1.059984857;-0.034614502
CZC;wave;142.5765933;female;NA;NA;0;-0.375099669;0.140699761;1.435084525;1.059984857;-0.034614502
CZB;wave;40.99430079;male;NA;NA;0;-0.93139403;0.867494839;1.996104767;1.064710737;-0.015037805
CZD;wave;44.00891051;male;14.5;19;1;-0.327286895;0.107116712;1.391997632;1.064710737;-0.095977535
CZD;wave;47.19803462;male;NA;NA;0;-0.172982218;0.029922848;1.237692955;1.064710737;-0.100644338
CZD;wave;60.14985659;male;5;5;1;-0.555650579;0.308747566;1.620361316;1.064710737;-0.085642845
CZD;wave;145.8824266;male;NA;NA;0;-1.263879016;1.597390167;2.328589753;1.064710737;0.096787974
CZD;wave;153.0204459;male;NA;NA;0;-1.322472734;1.748934133;2.387183471;1.064710737;-0.001844719
CZD;crab;224.8581218;female;NA;NA;0;-1.292878445;1.671534673;2.379546134;1.086667689;-0.139307179
CZD;crab;224.8581218;female;NA;NA;0;-1.406537763;1.978348479;2.493205453;1.086667689;-0.139307179
CZD;wave;224.8581218;female;NA;NA;0;0.021956952;0.000482108;1.064710737;1.086667689;-0.139307179
CZD;wave;224.8581218;female;NA;NA;0;-0.166095279;0.027587642;1.252762968;1.086667689;-0.139307179
CZC;crab;15.50317592;female;NA;NA;0;-1.120075341;1.254568769;2.208274414;1.088199073;-0.067985363
CZC;crab;15.50317592;female;NA;NA;0;-1.40500638;1.974042927;2.493205453;1.088199073;-0.067985363
CZC;wave;15.50317592;female;24;24;1;-0.164563896;0.027081276;1.252762968;1.088199073;-0.067985363
CZC;wave;15.50317592;female;NA;NA;0;-0.598199881;0.357843097;1.686398954;1.088199073;-0.067985363
CZB;wave;190.1316646;male;NA;NA;0;-0.154041435;0.023728764;1.252653724;1.098612289;-0.06906294
CZD;wave;75.20732463;male;NA;NA;0;-0.179952672;0.032382964;1.27856496;1.098612289;-0.089351114
CZD;wave;81.85742327;male;24;24;1;-0.067966515;0.004619447;1.166578803;1.098612289;-0.110259405
CZD;wave;83.11417303;male;NA;NA;0;-1.485793425;2.207582102;2.584405714;1.098612289;0.047533588
CZD;wave;90.75244272;male;NA;NA;0;-1.313119366;1.724282468;2.411731654;1.098612289;0.038850497
CZD;wave;152.1385119;male;NA;NA;0;-1.343057075;1.803802308;2.441669364;1.098612289;-0.044282116
CZD;wave;184.9506898;male;40;40;1;-0.024133505;0.000582426;1.122745794;1.098612289;-0.085860076
CZD;wave;18.6750629;male;NA;NA;0;-0.104588942;0.010938847;1.203201231;1.098612289;0.005536697
CZD;crab;215.9079822;female;NA;NA;0;-1.235345786;1.526079212;2.351375257;1.116029471;-0.014531112
CZD;wave;215.9079822;female;40;42;1;-0.164904375;0.027193453;1.280933845;1.116029471;-0.014531112
CZD;crab;225.4420943;female;NA;NA;0;-1.165737377;1.358943633;2.282382386;1.116645008;-0.076793527
CZD;crab;225.4420943;female;NA;NA;0;-1.253598733;1.571509783;2.370243741;1.116645008;-0.076793527
CZD;wave;225.4420943;female;11;18;1;-0.13611796;0.018528099;1.252762968;1.116645008;-0.076793527
CZD;wave;225.4420943;female;NA;NA;0;-0.13611796;0.018528099;1.252762968;1.116645008;-0.076793527
CZD;crab;7.683158205;female;NA;NA;0;-1.244602152;1.549034516;2.370243741;1.12564159;-0.058031466
CZD;wave;7.683158205;female;NA;NA;0;-0.03750922;0.001406942;1.16315081;1.12564159;-0.058031466
CZC;crab;29.58206324;female;NA;NA;0;-1.144501871;1.309884534;2.272125886;1.127624014;-0.083396066
CZC;crab;29.58206324;female;NA;NA;0;-1.223751243;1.497567105;2.351375257;1.127624014;-0.083396066
CZC;wave;29.58206324;female;24;24;1;-0.330991009;0.109555048;1.458615023;1.127624014;-0.083396066
CZC;wave;29.58206324;female;36;63;1;-0.330991009;0.109555048;1.458615023;1.127624014;-0.083396066
CZC;wave;144.1341974;male;NA;NA;0;-0.090430687;0.008177709;1.221832798;1.131402111;-0.072073947
CZD;wave;22.97837232;male;NA;NA;0;-0.155631647;0.024221209;1.287033758;1.131402111;-0.082870632
CZD;wave;66.72870687;male;NA;NA;0;-0.928013262;0.861208615;2.059415374;1.131402111;-0.008853282
CZD;wave;66.72870687;male;NA;NA;0;-0.928013262;0.861208615;2.059415374;1.131402111;-0.008853282
CZD;wave;76.90822576;male;NA;NA;0;-0.119827618;0.014358658;1.251229729;1.131402111;-0.096155026
CZD;wave;169.797225;male;26;26;1;-0.224602607;0.050446331;1.356004719;1.131402111;-0.035168659
CZD;crab;29.01970317;female;NA;NA;0;-1.162541915;1.351503704;2.302585093;1.140043178;-0.068848263
CZD;wave;29.01970317;female;NA;NA;0;-0.140890667;0.01985018;1.280933845;1.140043178;-0.068848263
