params;CZA;CZA_se;CZB;CZB_se;CZC;CZC_se;CZD;CZD_se
cl;182.6;1.51;72.33;0.31;48.39;0.86;82.43;NA
cr;290.73;1.33;123.93;1.68;128.18;1.9;167.43;1.58
wl;25.86;3.84;6.29;0.82;30.64;3.73;0.09;NA
wr;14.65;4.01;49.57;7.61;40.18;5.24;21.22;4.35
crab;-2.41;0.02;-2.49;0.04;-2.46;0.04;-2.42;0.03
wave;-1.51;0.03;-1.62;0.02;-1.25;0.03;-1.55;0.03
zs_c;-0.07;0.03;-0.04;0.03;-0.02;0.03;-0.05;0.04
zs_w;-0.13;0.03;-0.14;0.02;-0.26;0.03;-0.15;0.03
sc;0.26;0.01;0.28;0.01;0.28;0.01;0.34;0.01
sh;-0.35;0.07;0;0.04;0;0.05;0;0.07
sw;0.24;0.02;0.33;0.02;0.26;0.01;0.4;0.03
