"shore";"ref_ecotype";"distAlongPath";"length_mm";"test_sex";"dur_mean";"dur_max";"mountYN";"size_ratio";"size_ratio2";"log_male";"log_female";"shape";"y_rep";"y_rep_se";"preds";"uci_preds";"lci_preds";"y_preds"
"CZA";"wave";0.177201415;3.15812021;"male";6.5;8;1;0.571002307;0.326043634;1.14997698;1.720979287;-0.133561737;0.56225;0.00803403081142929;0.564;0.595;0.532;0
"CZA";"wave";0.177201415;6.606272518;"female";NA;NA;0;0.527043026;0.277774351;1.360976553;1.888019579;-0.115697334;0.566;0.00783749683184289;0.58;0.61;0.55;1
"CZA";"crab";0.343452261;5.678737953;"female";NA;NA;0;-0.573824246;0.329274265;2.310553263;1.736729017;-0.038880322;0.1005;0.00475453350994862;0.11;0.134;0.088;0
"CZA";"wave";0.343452261;5.678737953;"female";NA;NA;0;0.717881696;0.51535413;1.01884732;1.736729017;-0.038880322;0.491;0.00801708989005788;0.493;0.529;0.456;1
"CZA";"wave";0.343452261;5.678737953;"female";NA;NA;0;0.481112979;0.231469699;1.255616037;1.736729017;-0.038880322;0.5975;0.00780002670640012;0.594;0.623;0.565;1
"CZA";"crab";0.780894498;3.130273396;"female";NA;NA;0;-1.233785407;1.52222643;2.374905755;1.141120348;-0.127220834;0.00475;0.00108726947613204;0.003;0.012;0.001;0
"CZA";"crab";0.780894498;3.130273396;"female";NA;NA;0;-1.244886353;1.549742033;2.386006701;1.141120348;-0.127220834;0.0025;0.000789679300950447;0.003;0.011;0.001;0
"CZA";"wave";0.780894498;3.130273396;"female";NA;NA;0;-0.043669637;0.001907037;1.184789985;1.141120348;-0.127220834;0.5245;0.00789718487071314;0.515;0.542;0.488;1
"CZB";"wave";0.902534402;4.809831967;"male";NA;NA;0;0.204290201;0.041734486;1.570662149;1.774952351;0.012649694;0.618;0.00783670853426073;0.612;0.64;0.585;0
"CZB";"wave";0.902534402;4.809831967;"male";23;23;1;0.346260463;0.119896308;1.570662149;1.916922612;0.012649694;0.632;0.00762617463968068;0.618;0.647;0.591;0
"CZB";"crab";0.902534402;4.809831967;"male";34;34;1;0.780713108;0.609512957;1.570662149;2.351375257;0.012649694;0.45525;0.00787495162466238;0.456;0.495;0.418;1
"CZB";"crab";0.902534402;4.809831967;"male";NA;NA;0;1.123965031;1.263297392;1.570662149;2.694627181;0.012649694;0.25875;0.00774992594183532;0.252;0.286;0.22;0
"CZB";"crab";1.309242159;7.130760861;"female";7;7;1;-0.232806636;0.05419893;2.197224577;1.964417941;-0.037770643;0.37025;0.00814346527115696;0.37;0.401;0.338;0
"CZB";"crab";1.309242159;7.130760861;"female";NA;NA;0;-0.638271744;0.407390819;2.602689685;1.964417941;-0.037770643;0.07525;0.00417147571938509;0.08;0.102;0.062;0
"CZB";"wave";1.309242159;7.130760861;"female";22;22;1;0.603441388;0.364141509;1.360976553;1.964417941;-0.037770643;0.557;0.00785513690485077;0.55;0.582;0.517;1
"CZB";"wave";1.309242159;7.130760861;"female";46;46;1;0.241651344;0.058395372;1.722766598;1.964417941;-0.037770643;0.6255;0.00777142820670703;0.617;0.645;0.59;1
"CZA";"crab";1.618601679;4.314402765;"male";NA;NA;0;1.078855376;1.163928922;1.461958906;2.540814282;-0.103636302;0.27725;0.00707871008087648;0.275;0.311;0.243;0
"CZB";"crab";1.757989399;6.569557861;"female";NA;NA;0;-0.666998637;0.444887182;2.549445171;1.882446534;-0.01253909;0.07;0.00403473292392964;0.07;0.09;0.053;0
"CZB";"crab";1.757989399;6.569557861;"female";NA;NA;0;-0.80540096;0.648670707;2.687847494;1.882446534;-0.01253909;0.03675;0.00297524324939966;0.034;0.049;0.022;0
"CZB";"wave";1.757989399;6.569557861;"female";29.5;33;1;0.400841993;0.160674303;1.481604541;1.882446534;-0.01253909;0.6;0.00774693511983531;0.612;0.641;0.584;1
"CZB";"wave";1.757989399;6.569557861;"female";33.33333333;45;1;0.19604758;0.038434654;1.686398954;1.882446534;-0.01253909;0.62225;0.00777688134512623;0.611;0.638;0.583;1
"CZA";"wave";1.966991117;2.963991883;"male";34;34;1;0.80053268;0.640852572;1.086536969;1.887069649;-0.111226108;0.4395;0.00790908329566402;0.444;0.484;0.406;0
"CZA";"crab";1.966991117;2.963991883;"male";1;1;1;1.625505253;2.642267329;1.086536969;2.712042222;-0.111226108;0.10025;0.0047492760796589;0.098;0.166;0.053;0
"CZC";"wave";100.0847579;10.41483523;"male";55;55;1;-0.302010925;0.091210599;2.343231254;2.041220329;0.079972257;0.303;0.00726711447124542;0.309;0.341;0.276;0
"CZC";"crab";100.0847579;10.41483523;"male";88;88;1;-0.011087359;0.00012293;2.343231254;2.332143895;0.079972257;0.531;0.00789147127155054;0.535;0.561;0.508;1
"CZC";"crab";100.0847579;10.41483523;"male";52;52;1;0.174465218;0.030438112;2.343231254;2.517696473;0.079972257;0.60825;0.0077191567363398;0.607;0.634;0.579;0
"CZB";"crab";100.8948283;10.3348463;"female";NA;NA;0;0.042986564;0.001847845;2.292534757;2.335521321;0.040496597;0.56575;0.00799886320120452;0.563;0.588;0.536;0
"CZB";"crab";100.8948283;10.3348463;"female";NA;NA;0;-0.115483777;0.013336503;2.451005098;2.335521321;0.040496597;0.46175;0.00788351265730921;0.466;0.494;0.438;1
"CZB";"wave";100.8948283;10.3348463;"female";NA;NA;0;0.974544768;0.949737505;1.360976553;2.335521321;0.040496597;0.32775;0.00743867681771939;0.336;0.375;0.3;0
"CZB";"wave";100.8948283;10.3348463;"female";69;69;1;0.787958813;0.62087909;1.547562509;2.335521321;0.040496597;0.4635;0.00788558704985115;0.452;0.491;0.414;0
"CZC";"wave";100.9825878;13.50563276;"male";NA;NA;0;-1.350343871;1.823428571;2.60310684;1.252762968;0.04527721;0.00375;0.00096654949665414;0.002;0.009;0;0
"CZC";"crab";100.9825878;13.50563276;"male";NA;NA;0;-0.270962945;0.073420917;2.60310684;2.332143895;0.04527721;0.34275;0.007736563024903;0.336;0.368;0.304;0
"CZC";"crab";100.9825878;13.50563276;"male";30.5;54;1;-0.101670888;0.01033697;2.60310684;2.501435952;0.04527721;0.478;0.00789902517084624;0.476;0.504;0.448;0
"CZC";"crab";101.0277317;9.065557613;"male";NA;NA;0;0.202462753;0.040991166;2.204482355;2.406945108;0.076066437;0.615;0.00769470936020552;0.612;0.639;0.585;1
"CZB";"wave";101.0587678;10.470164;"male";NA;NA;0;-0.759294483;0.576528113;2.348529689;1.589235205;0.054174769;0.04175;0.00329539259855118;0.043;0.06;0.03;0
"CZB";"wave";101.0587678;10.470164;"male";NA;NA;0;-0.492231698;0.242292045;2.348529689;1.85629799;0.054174769;0.16575;0.00595742007958833;0.157;0.186;0.132;0
"CZB";"crab";101.0587678;10.470164;"male";32;53;1;0.119569843;0.014296947;2.348529689;2.468099531;0.054174769;0.5855;0.00793699975858533;0.592;0.619;0.565;1
