"hat";"mean";"se_mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"n_eff";"Rhat"
"y_hat[1]";-7.46;0.07;1.33;-10.33;-8.32;-7.33;-6.48;-5.27;338.86;1.01
"y_hat[2]";-7.69;0.08;1.44;-10.82;-8.61;-7.55;-6.63;-5.36;335.94;1.01
"y_hat[3]";-4.17;0.01;0.32;-4.8;-4.37;-4.16;-3.94;-3.55;543.77;1
"y_hat[4]";-7.03;0.06;1.15;-9.5;-7.79;-6.94;-6.2;-5.1;345.3;1
"y_hat[5]";-6.85;0.06;1.07;-9.15;-7.57;-6.77;-6.07;-5.03;348.57;1
"y_hat[6]";-6.28;0.05;0.86;-8.08;-6.86;-6.22;-5.66;-4.79;361.56;1
"y_hat[7]";-1.35;0;0.09;-1.54;-1.42;-1.35;-1.29;-1.17;1381.93;1
"y_hat[8]";-1.57;0;0.1;-1.77;-1.64;-1.57;-1.5;-1.38;1598.23;1
"y_hat[9]";-7;0.06;1.13;-9.43;-7.75;-6.91;-6.18;-5.09;345.89;1
"y_hat[10]";-5.56;0.03;0.64;-6.87;-5.99;-5.53;-5.1;-4.41;388.2;1
"y_hat[11]";-1.24;0;0.09;-1.42;-1.3;-1.24;-1.18;-1.06;1302.78;1
"y_hat[12]";-5.11;0.03;0.52;-6.16;-5.46;-5.1;-4.74;-4.16;415.75;1
"y_hat[13]";-6.67;0.05;1;-8.8;-7.34;-6.6;-5.94;-4.96;352.19;1
"y_hat[14]";-0.32;0;0.06;-0.45;-0.37;-0.32;-0.28;-0.21;1469.48;1
"y_hat[15]";0.23;0;0.06;0.12;0.19;0.23;0.26;0.34;2151.28;1
"y_hat[16]";-0.89;0;0.08;-1.06;-0.95;-0.89;-0.84;-0.74;888.12;1
"y_hat[17]";-1.41;0;0.1;-1.59;-1.47;-1.4;-1.34;-1.22;1425.92;1
"y_hat[18]";-0.79;0;0.08;-0.95;-0.84;-0.78;-0.73;-0.64;882.43;1
"y_hat[19]";-7.73;0.08;1.46;-10.93;-8.66;-7.59;-6.66;-5.37;335.44;1.01
"y_hat[20]";-6.63;0.05;0.99;-8.72;-7.28;-6.55;-5.91;-4.94;353.14;1
"y_hat[21]";-7.25;0.07;1.24;-9.93;-8.06;-7.14;-6.34;-5.18;341.85;1
"y_hat[22]";-6.1;0.04;0.8;-7.77;-6.64;-6.05;-5.53;-4.7;366.88;1
"y_hat[23]";-4.9;0.02;0.47;-5.85;-5.22;-4.89;-4.57;-4.04;433.1;1
"y_hat[24]";-0.07;0;0.06;-0.19;-0.11;-0.07;-0.03;0.04;2064.36;1
"y_hat[25]";-6.16;0.04;0.82;-7.87;-6.71;-6.11;-5.57;-4.73;365.13;1
"y_hat[26]";-1.4;0;0.1;-1.59;-1.46;-1.4;-1.34;-1.22;1421.27;1
"y_hat[27]";-6.16;0.04;0.82;-7.88;-6.71;-6.11;-5.57;-4.73;365;1
"y_hat[28]";-6.3;0.05;0.87;-8.11;-6.87;-6.24;-5.67;-4.8;361.15;1
"y_hat[29]";-0.72;0;0.08;-0.88;-0.77;-0.72;-0.67;-0.58;887.1;1
"y_hat[30]";-1.05;0;0.09;-1.22;-1.1;-1.05;-0.99;-0.89;922.59;1
"y_hat[31]";-0.32;0;0.06;-0.45;-0.36;-0.32;-0.27;-0.2;1478.18;1
"y_hat[32]";-0.59;0;0.07;-0.74;-0.64;-0.59;-0.54;-0.46;915.64;1
"y_hat[33]";-6.59;0.05;0.97;-8.65;-7.24;-6.52;-5.89;-4.93;353.91;1
"y_hat[34]";-6.12;0.04;0.81;-7.8;-6.66;-6.07;-5.54;-4.71;366.34;1
"y_hat[35]";-6.46;0.05;0.93;-8.41;-7.08;-6.4;-5.8;-4.88;356.86;1
"y_hat[36]";-0.54;0;0.07;-0.68;-0.59;-0.54;-0.49;-0.41;937.47;1
"y_hat[37]";-5.74;0.04;0.69;-7.16;-6.2;-5.71;-5.24;-4.51;380.08;1
"y_hat[38]";-6.91;0.06;1.1;-9.26;-7.65;-6.83;-6.12;-5.05;347.43;1
"y_hat[39]";-0.21;0;0.06;-0.33;-0.25;-0.21;-0.17;-0.09;1700.76;1
"y_hat[40]";-0.72;0;0.08;-0.87;-0.77;-0.71;-0.66;-0.58;887.43;1
"y_hat[41]";-6.44;0.05;0.92;-8.37;-7.05;-6.38;-5.78;-4.87;357.46;1
"y_hat[42]";-1.12;0;0.09;-1.3;-1.18;-1.12;-1.06;-0.96;949.53;1
"y_hat[43]";-4.05;0.01;0.3;-4.65;-4.25;-4.05;-3.84;-3.48;572.04;1
"y_hat[44]";-0.91;0;0.08;-1.08;-0.97;-0.91;-0.86;-0.76;890.77;1
"y_hat[45]";-0.32;0;0.06;-0.45;-0.36;-0.32;-0.28;-0.2;1476.37;1
"y_hat[46]";-2;0;0.11;-2.22;-2.08;-2;-1.92;-1.77;2218.11;1
"y_hat[47]";-5.82;0.04;0.71;-7.29;-6.3;-5.78;-5.31;-4.56;376.75;1
"y_hat[48]";-6.11;0.04;0.81;-7.79;-6.65;-6.06;-5.53;-4.71;366.59;1
"y_hat[49]";-5.97;0.04;0.76;-7.53;-6.47;-5.92;-5.42;-4.63;371.4;1
"y_hat[50]";-6.51;0.05;0.95;-8.5;-7.14;-6.45;-5.83;-4.9;355.71;1
"y_hat[51]";0.21;0;0.06;0.1;0.17;0.21;0.25;0.32;2184.45;1
"y_hat[52]";-0.3;0;0.06;-0.42;-0.34;-0.29;-0.25;-0.18;1516.78;1
"y_hat[53]";-5.08;0.02;0.51;-6.11;-5.42;-5.06;-4.72;-4.14;418.01;1
"y_hat[54]";-6.51;0.05;0.94;-8.49;-7.13;-6.44;-5.83;-4.89;355.88;1
"y_hat[55]";-0.29;0;0.06;-0.42;-0.33;-0.29;-0.25;-0.18;1526.11;1
"y_hat[56]";-2.22;0;0.12;-2.46;-2.3;-2.22;-2.14;-1.98;2473.14;1
"y_hat[57]";-0.26;0;0.06;-0.38;-0.3;-0.25;-0.21;-0.14;1593.69;1
"y_hat[58]";-0.34;0;0.06;-0.47;-0.39;-0.34;-0.3;-0.22;1087.29;1
"y_hat[59]";0;0;0.06;-0.12;-0.04;0;0.04;0.11;2186.39;1
"y_hat[60]";-6.87;0.06;1.08;-9.19;-7.6;-6.79;-6.09;-5.04;348.14;1
"y_hat[61]";-6.07;0.04;0.79;-7.71;-6.59;-6.02;-5.5;-4.68;368.05;1
"y_hat[62]";-6.21;0.04;0.84;-7.96;-6.77;-6.16;-5.61;-4.76;363.58;1
"y_hat[63]";0.11;0;0.06;0;0.07;0.11;0.15;0.22;2283.38;1
"y_hat[64]";-0.1;0;0.06;-0.22;-0.14;-0.1;-0.06;0.01;1992.93;1
"y_hat[65]";-5.68;0.03;0.67;-7.05;-6.13;-5.65;-5.19;-4.48;382.75;1
"y_hat[66]";-0.29;0;0.06;-0.42;-0.33;-0.29;-0.25;-0.18;1524.03;1
"y_hat[67]";-5.32;0.03;0.57;-6.48;-5.7;-5.3;-4.91;-4.28;401.44;1
"y_hat[68]";-5.77;0.04;0.7;-7.21;-6.24;-5.74;-5.27;-4.53;378.82;1
"y_hat[69]";-0.2;0;0.06;-0.32;-0.24;-0.2;-0.16;-0.09;1721.64;1
"y_hat[70]";-0.2;0;0.06;-0.32;-0.24;-0.2;-0.16;-0.09;1721.64;1
"y_hat[71]";-5.73;0.04;0.69;-7.13;-6.18;-5.69;-5.23;-4.51;380.72;1
"y_hat[72]";0.08;0;0.06;-0.04;0.04;0.08;0.11;0.18;2274.18;1
"y_hat[73]";-5.21;0.03;0.54;-6.32;-5.57;-5.19;-4.82;-4.21;408.63;1
"y_hat[74]";-5.62;0.03;0.65;-6.96;-6.06;-5.59;-5.15;-4.45;385.43;1
"y_hat[75]";-0.93;0;0.08;-1.1;-0.98;-0.93;-0.87;-0.77;893.28;1
"y_hat[76]";-0.93;0;0.08;-1.1;-0.98;-0.93;-0.87;-0.77;893.28;1
"y_hat[77]";-0.06;0;0.06;-0.18;-0.1;-0.06;-0.02;0.05;2075.74;1
"y_hat[78]";-0.26;0;0.06;-0.38;-0.3;-0.26;-0.22;-0.15;1583.1;1
"y_hat[79]";-4.03;0.01;0.3;-4.63;-4.23;-4.03;-3.82;-3.47;577.24;1
"y_hat[80]";-4.03;0.01;0.3;-4.63;-4.23;-4.03;-3.82;-3.47;577.24;1
"y_hat[81]";-0.15;0;0.06;-0.27;-0.19;-0.15;-0.11;-0.04;1894.04;1
"y_hat[82]";-0.5;0;0.07;-0.64;-0.55;-0.5;-0.45;-0.37;957.28;1
"y_hat[83]";-5.3;0.03;0.57;-6.46;-5.68;-5.28;-4.9;-4.27;402.47;1
"y_hat[84]";-0.21;0;0.06;-0.34;-0.25;-0.21;-0.17;-0.1;1686.11;1
"y_hat[85]";-5.67;0.03;0.67;-7.04;-6.12;-5.64;-5.19;-4.48;383.11;1
"y_hat[86]";-5.73;0.04;0.69;-7.13;-6.19;-5.69;-5.23;-4.51;380.66;1
