"rep";"y_rep"
"y_rep[1]";0.0015
"y_rep[2]";0.00075
"y_rep[3]";0.012
"y_rep[4]";0.00125
"y_rep[5]";0.00225
"y_rep[6]";0.003
"y_rep[7]";0.20625
"y_rep[8]";0.1705
"y_rep[9]";0.00175
"y_rep[10]";0.00575
"y_rep[11]";0.22525
"y_rep[12]";0.0055
"y_rep[13]";0.00075
"y_rep[14]";0.407
"y_rep[15]";0.5535
"y_rep[16]";0.28975
"y_rep[17]";0.1875
"y_rep[18]";0.3215
"y_rep[19]";0.0015
"y_rep[20]";0.00175
"y_rep[21]";0.002
"y_rep[22]";0.003
"y_rep[23]";0.0085
"y_rep[24]";0.48225
"y_rep[25]";0.00375
"y_rep[26]";0.1875
"y_rep[27]";0.0035
"y_rep[28]";0.00325
"y_rep[29]";0.335
"y_rep[30]";0.2485
"y_rep[31]";0.409
"y_rep[32]";0.355
"y_rep[33]";0.0025
"y_rep[34]";0.00275
"y_rep[35]";0.00275
"y_rep[36]";0.36025
"y_rep[37]";0.0055
"y_rep[38]";0.0015
"y_rep[39]";0.4465
"y_rep[40]";0.32975
"y_rep[41]";0.00125
"y_rep[42]";0.24075
"y_rep[43]";0.01625
"y_rep[44]";0.27775
"y_rep[45]";0.418
"y_rep[46]";0.118
"y_rep[47]";0.0035
"y_rep[48]";0.003
"y_rep[49]";0.00225
"y_rep[50]";0.0025
"y_rep[51]";0.56
"y_rep[52]";0.42475
"y_rep[53]";0.00625
"y_rep[54]";0.001
"y_rep[55]";0.42725
"y_rep[56]";0.094
"y_rep[57]";0.42825
"y_rep[58]";0.41375
"y_rep[59]";0.50325
"y_rep[60]";0.00125
"y_rep[61]";0.0035
"y_rep[62]";0.00225
"y_rep[63]";0.5155
"y_rep[64]";0.4745
"y_rep[65]";0.00425
"y_rep[66]";0.4295
"y_rep[67]";0.005
"y_rep[68]";0.00575
"y_rep[69]";0.4515
"y_rep[70]";0.44975
"y_rep[71]";0.00325
"y_rep[72]";0.52125
"y_rep[73]";0.00575
"y_rep[74]";0.0035
"y_rep[75]";0.275
"y_rep[76]";0.2765
"y_rep[77]";0.5035
"y_rep[78]";0.4285
"y_rep[79]";0.0165
"y_rep[80]";0.02225
"y_rep[81]";0.4555
"y_rep[82]";0.392
"y_rep[83]";0.0055
"y_rep[84]";0.436
"y_rep[85]";0.0035
"y_rep[86]";0.0055
"y_rep[87]";0.5055
"y_rep[88]";0.002
"y_rep[89]";0.6165
"y_rep[90]";0.5985
"y_rep[91]";0.00475
"y_rep[92]";0.0025
"y_rep[93]";0.6245
"y_rep[94]";0.0925
"y_rep[95]";0.006
"y_rep[96]";0.004
"y_rep[97]";0.36475
"y_rep[98]";0.289
"y_rep[99]";0.399
"y_rep[100]";0.32775
"y_rep[101]";0.54925
"y_rep[102]";0.002
"y_rep[103]";0.0025
"y_rep[104]";0.00225
"y_rep[105]";0.00175
"y_rep[106]";0.59025
"y_rep[107]";0.609
"y_rep[108]";0.0065
"y_rep[109]";0.00275
"y_rep[110]";0.536
"y_rep[111]";0.26125
"y_rep[112]";0.00725
"y_rep[113]";0.006
"y_rep[114]";0.6155
"y_rep[115]";0.54625
"y_rep[116]";0.40625
"y_rep[117]";0.011
"y_rep[118]";0.0025
"y_rep[119]";0.318
"y_rep[120]";0.00175
"y_rep[121]";0.0025
"y_rep[122]";0.50625
"y_rep[123]";0.124
"y_rep[124]";0.0035
"y_rep[125]";0.0015
"y_rep[126]";0.37725
"y_rep[127]";0.009
"y_rep[128]";0.00425
"y_rep[129]";0.5675
"y_rep[130]";0.541
"y_rep[131]";0.559
"y_rep[132]";0.4355
"y_rep[133]";0.00525
"y_rep[134]";0.503
"y_rep[135]";0.008
"y_rep[136]";0.53675
"y_rep[137]";0.003
"y_rep[138]";0.027
"y_rep[139]";0.0025
"y_rep[140]";0.00675
"y_rep[141]";0.00275
"y_rep[142]";0.0055
"y_rep[143]";0.4565
"y_rep[144]";0.57825
"y_rep[145]";0.53725
"y_rep[146]";0.003
"y_rep[147]";0.26775
"y_rep[148]";0.00325
"y_rep[149]";0.5575
"y_rep[150]";0.17925
"y_rep[151]";0.52925
"y_rep[152]";0.0015
"y_rep[153]";0.00925
"y_rep[154]";0.0045
"y_rep[155]";0.0055
"y_rep[156]";0.0055
"y_rep[157]";0.34175
"y_rep[158]";0.19175
"y_rep[159]";0.00975
"y_rep[160]";0.0045
"y_rep[161]";0.55975
"y_rep[162]";0.00525
"y_rep[163]";0.473
"y_rep[164]";0.004
"y_rep[165]";0.0895
"y_rep[166]";0.00575
"y_rep[167]";0.003
"y_rep[168]";0.48575
"y_rep[169]";0.00475
"y_rep[170]";0.52375
"y_rep[171]";0.4545
"y_rep[172]";0.005
"y_rep[173]";0.0035
"y_rep[174]";0.59875
"y_rep[175]";0.5485
"y_rep[176]";0.0045
"y_rep[177]";0.5525
"y_rep[178]";0.00825
"y_rep[179]";0.478
"y_rep[180]";0.366
"y_rep[181]";0.083
"y_rep[182]";0.58725
"y_rep[183]";0.009
"y_rep[184]";0.002
"y_rep[185]";0.004
"y_rep[186]";0.6075
"y_rep[187]";0.4765
"y_rep[188]";0.5375
"y_rep[189]";0.615
"y_rep[190]";0.5345
"y_rep[191]";0.01225
"y_rep[192]";0.004
"y_rep[193]";0.0025
"y_rep[194]";0.0065
"y_rep[195]";0.00525
"y_rep[196]";0.25875
